title,cast,directors,writers,genres,keywords,content_rating,run_time,release_year,languages,rating,budget,revenue,opening_weekend_revenue,production_companies,production_countries,alternative_titles
Ghost Dog: The Way of the Samurai,Forest Whitaker;Cliff Gorman;Tricia Vessey;Henry Silva;Victor Argo,Jim Jarmusch,Jim Jarmusch,Crime;Drama,deportation;hitman;mission of murder;book;code;telescope;beating;mafia;park;pigeon;hagakure;ice cream;haitian;cd player;rouge;arm sling;racial slur,R,116,1999,English,72.0,-,-,,,,
Eight Below,Paul Walker;Bruce Greenwood;Moon Bloodgood;Jason Biggs;Gerard Plunkett,Frank Marshall,David DiGilio,Adventure;Drama;Family,expedition;pilot;survival;sled dogs;seal,PG,120,2006,English,67.0,$40000000.00,$120455994.00,,,,
Witness,Harrison Ford;Kelly McGillis;Josef Sommer;Lukas Haas;Jan Rubeš,Peter Weir,Earl W. Wallace;William Kelley,Crime;Drama;Romance;Thriller,"philadelphia;corruption;detective;police brutality;amish;suspense;witness to murder;barn raising;lancaster, pa",R,113,1985,English,70.0,$12000000.00,$68706993.00,,,,
Blue Is the Warmest Color,Adèle Exarchopoulos;Léa Seydoux;Salim Kechiouche;Aurélien Recoing;Catherine Salée,Abdellatif Kechiche,Abdellatif Kechiche;Ghalia Lacroix,Romance;Drama,homophobia;love;lesbian relationship;gay interest;coming of age;lesbian;sexual attraction;teenager;based on graphic novel;high school student;sexual desire;teenage sexuality;lgbt;sexual awakening;social class;lille,NC-17,179,2013,French,72.0,$4300000.00,$10165694.00,,,,
Mamma Mia!,Meryl Streep;Pierce Brosnan;Amanda Seyfried;Colin Firth;Stellan Skarsgård,Phyllida Lloyd,Catherine Johnson,Comedy;Romance,single parent;parent child relationship;greece;musical;daughter;single;duringcreditsstinger;woman director,not available,108,2008,English,65.0,$52000000.00,$609841637.00,,,,
Third Person,Liam Neeson;Mila Kunis;James Franco;Olivia Wilde;Adrien Brody,Paul Haggis,Paul Haggis,Drama;Romance,paris;new york;rome;loss of loved one;hotel room;europe;trauma;love;con artist;writer;maid;incest;unfaithful husband;personality disorder;existential loneliness;alexithymia,R,137,2013,English,58.0,$28000000.00,$1749201.00,,,,
The Good Dinosaur,Raymond Ochoa;Jack Bright;Jeffrey Wright;Frances McDormand;Maleah Nipay-Padilla,Peter Sohn,Meg LeFauve;Meg LeFauve;Peter Sohn;Erik Benson;Kelsey Mann;Bob Peterson,Adventure;Animation;Family,tyrannosaurus rex;friends;alternate history;dinosaur;fear;storm;nature;human;journey,PG,93,2015,English,67.0,$175000000.00,$331926147.00,,,,
The East,Brit Marling;Alexander Skarsgård;Ellen Page;Toby Kebbell;Shiloh Fernandez,Zal Batmanglij,Zal Batmanglij;Brit Marling,Drama;Thriller,secret organization;murder;eco terrorism;environmentalism;vanity film;multiple felonies,PG-13,116,2013,English,65.0,$6500000.00,$2401510.00,,,,
The Running Man,Arnold Schwarzenegger;Richard Dawson;María Conchita Alonso;Yaphet Kotto;Jim Brown,Paul Michael Glaser,Stephen King;Steven E. de Souza,Action;Science Fiction,prison;chase;hunting human beings;game show;dystopia;dystopic future,R,101,1987,English,64.0,$27000000.00,$38122105.00,,,,
The Haunted Mansion,Eddie Murphy;Terence Stamp;Nathaniel Parker;Marsha Thomason;Jennifer Tilly,Rob Minkoff,David Berenbaum,Thriller;Fantasy;Comedy;Family;Mystery,secret passage;magic;estate agent;haunted house;family vacation;ghost;aftercreditsstinger,PG,88,2003,English,52.0,$90000000.00,$182290266.00,,,,
Porky's,Dan Monahan;Mark Herrier;Wyatt Knight;Cyril O'Reilly;Kaki Hunter,Bob Clark,Bob Clark,Comedy,sex;virgin;nudity;stripper;redneck;school;loss of virginity;hijinks;racism;teenager;lust;mischief;peeping tom;teaching;misadventure;sex comedy;duringcreditsstinger;voyeur;canuxploitation;virginity,R,94,1981,English,61.0,$4000000.00,$125728258.00,,,,
Dangerous Liaisons,Glenn Close;John Malkovich;Michelle Pfeiffer;Swoosie Kurtz;Keanu Reeves,Stephen Frears,Choderlos de Laclos;Choderlos de Laclos;Christopher Hampton,Drama;Romance,lovesickness;sexuality;cheating;cynic;ladykiller;fiancé;arranged marriage;passion;seduction;love letter;boredom;courtly life;french revolution;lover;plan;praise;gender roles,R,119,1988,English,71.0,$14000000.00,$34670720.00,,,,
Popstar: Never Stop Never Stopping,Andy Samberg;Jorma Taccone;Akiva Schaffer;Sarah Silverman;Tim Meadows,Jorma Taccone;Akiva Schaffer,Jorma Taccone;Akiva Schaffer;Andy Samberg,Comedy;Music,pop star;musician;record album;famous,R,86,2016,English,66.0,-,$9496130.00,,,,
Warcraft,Paula Patton;Travis Fimmel;Ben Foster;Robert Kazinsky;Dominic Cooper,Duncan Jones,Duncan Jones;Chris Metzen;Charles Leavitt,Action;Adventure;Fantasy,video game;elves;orcs;magic;chase;based on comic;sorcerer;fictional war;based on video game;wizard;fictional language;muscles;orc;sword and sorcery,PG-13,123,2016,English,63.0,$160000000.00,$433677183.00,,,,
Little Big Man,Dustin Hoffman;Faye Dunaway;Chief Dan George;Martin Balsam;Richard Mulligan,Arthur Penn,Thomas Berger;Calder Willingham,Adventure;Western;History,based on novel;indian territory;fight;settler;native american;orphan;cheyenne;george armstrong custer;19th century,PG-13,139,1970,English,76.0,$15000000.00,$31559552.00,,,,
